Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.38,-.53,-.25,-.32,-.08,-.18,-.21,-.28,-.25,-.33,-.44,-.42,-.30,***,***,-.21,-.22,-.34
1881,-.32,-.24,-.05,-.01,.02,-.35,.06,-.07,-.29,-.45,-.38,-.25,-.20,-.21,-.33,-.02,-.12,-.37
1882,.24,.20,.00,-.34,-.26,-.32,-.30,-.16,-.26,-.54,-.34,-.70,-.23,-.19,.06,-.20,-.26,-.38
1883,-.59,-.67,-.16,-.30,-.26,-.12,-.07,-.24,-.35,-.17,-.45,-.16,-.29,-.34,-.65,-.24,-.14,-.32
1884,-.18,-.12,-.65,-.60,-.37,-.42,-.42,-.52,-.46,-.46,-.59,-.48,-.44,-.41,-.15,-.54,-.45,-.50
1885,-1.02,-.47,-.25,-.50,-.60,-.47,-.36,-.43,-.41,-.38,-.39,-.12,-.45,-.48,-.66,-.45,-.42,-.39
1886,-.76,-.85,-.72,-.38,-.35,-.39,-.16,-.44,-.34,-.32,-.41,-.22,-.45,-.44,-.57,-.48,-.33,-.36
1887,-1.10,-.72,-.45,-.40,-.28,-.22,-.26,-.57,-.23,-.50,-.27,-.45,-.45,-.43,-.68,-.38,-.35,-.33
1888,-.50,-.63,-.65,-.24,-.18,-.05,-.03,-.23,-.21,-.05,-.03,-.26,-.25,-.27,-.52,-.36,-.10,-.10
1889,-.30,.27,-.04,.14,-.06,-.09,-.09,-.22,-.32,-.43,-.63,-.57,-.19,-.17,-.10,.01,-.13,-.46
1890,-.66,-.59,-.49,-.27,-.37,-.18,-.25,-.41,-.37,-.11,-.64,-.49,-.40,-.41,-.61,-.38,-.28,-.37
1891,-.47,-.68,-.17,-.37,-.16,-.14,-.14,-.14,-.09,-.29,-.53,-.03,-.27,-.31,-.55,-.23,-.14,-.31
1892,-.51,-.19,-.67,-.46,-.24,-.06,-.39,-.34,-.22,-.28,-.83,-.68,-.40,-.35,-.24,-.46,-.26,-.44
1893,-1.51,-.97,-.33,-.31,-.44,-.19,-.15,-.35,-.29,-.28,-.34,-.61,-.48,-.49,-1.05,-.36,-.23,-.31
1894,-.93,-.44,-.23,-.55,-.27,-.42,-.22,-.28,-.34,-.28,-.49,-.37,-.40,-.42,-.66,-.35,-.31,-.37
1895,-.72,-.82,-.51,-.20,-.32,-.22,-.21,-.29,-.07,-.10,-.15,-.25,-.32,-.33,-.64,-.34,-.24,-.11
1896,-.39,-.20,-.51,-.63,-.19,.05,-.03,-.13,-.15,.02,-.23,-.24,-.22,-.22,-.28,-.44,-.04,-.12
1897,-.42,-.44,-.42,-.07,.11,-.09,.02,-.08,-.08,-.18,-.27,-.30,-.19,-.18,-.37,-.13,-.05,-.18
1898,.02,-.47,-.82,-.30,-.30,-.11,-.14,-.20,-.20,-.39,-.53,-.29,-.31,-.31,-.25,-.47,-.15,-.37
1899,-.15,-.66,-.60,-.25,-.27,-.37,-.19,-.08,-.07,.03,.33,-.50,-.23,-.21,-.37,-.37,-.21,.10
1900,-.64,-.17,.03,-.12,-.06,-.13,-.14,-.10,-.05,.21,-.14,-.05,-.11,-.15,-.44,-.05,-.12,.01
1901,-.36,-.11,.25,.08,-.13,-.01,-.01,-.18,-.29,-.34,-.21,-.41,-.14,-.11,-.17,.07,-.06,-.28
1902,-.15,-.04,-.39,-.39,-.41,-.41,-.34,-.31,-.35,-.34,-.48,-.62,-.35,-.34,-.20,-.40,-.35,-.39
1903,-.25,.10,-.18,-.48,-.45,-.47,-.45,-.57,-.51,-.47,-.42,-.59,-.40,-.40,-.26,-.37,-.50,-.47
1904,-.78,-.63,-.48,-.52,-.46,-.50,-.61,-.56,-.65,-.40,-.10,-.36,-.50,-.52,-.67,-.49,-.56,-.39
1905,-.43,-.84,-.24,-.47,-.31,-.29,-.23,-.25,-.21,-.28,.07,-.19,-.31,-.32,-.54,-.34,-.26,-.14
1906,-.57,-.54,-.22,.02,-.26,-.12,-.28,-.18,-.25,-.19,-.41,.01,-.25,-.27,-.43,-.15,-.19,-.29
